C:\Schneider\Soft\py\opc\venv\Scripts\python.exe C:/Schneider/Soft/py/opc/main.py
['Saturn.OPC.LanMon']
None
print(name, value, quality, time)
200.1.21.36 88.5045 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.37 3.483250244140625 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.38 107.0890078125 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.39 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.40 19.834001953125 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.41 8.6932509765625 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.42 44729.558333333334 Good 2022-06-17 10:26:41.861000+00:00
200.1.20.1 0.8333999633789062 Good 2022-06-17 10:26:41.861000+00:00
200.1.20.2 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.20.3 0.8333999633789062 Good 2022-06-17 10:26:41.861000+00:00
200.1.20.4 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.20.5 -0.004049999713897705 Good 2022-06-17 10:26:41.861000+00:00
200.1.20.6 0.0 Good 2022-06-17 10:26:41.861000+00:00
